date,price,count,market_cnt
20231115,5066.0,2238,9
20231116,5089.0,2136,10
20231117,4947.0,1331,8
20231120,5052.0,2347,10
20231121,5164.0,2167,10
20231122,5191.0,2089,11
20231123,5205.0,2448,10
20231124,5008.0,1356,8
20231127,5129.0,2341,10
20231128,5249.0,2316,10
20231129,5260.0,2092,10
20231130,5364.0,2113,10
20231201,5124.0,1236,8
20231204,5296.0,2426,10
20231205,5263.0,2294,10
20231206,5311.0,2267,9
20231207,5228.0,2557,9
20231208,4891.0,1356,8
20231211,5077.0,2474,10
20231212,5043.0,2321,9
20231213,5045.0,1979,10
20231214,5067.0,2082,10
20231215,4870.0,1003,8
20231218,4957.0,2422,10
20231219,4888.0,2406,9
20231220,4801.0,2312,10
20231221,4692.0,2208,10
20231222,4363.0,971,8
20231225,4162.0,1400,1
20231226,4470.0,2696,10
20231227,4467.0,2647,10
20231228,4538.0,2337,10
20231229,4267.0,512,5
20240102,4290.0,3104,10
20240103,4336.0,2359,10
20240104,4299.0,2596,10
20240105,4308.0,1372,7
20240108,4414.0,2406,10
20240109,4360.0,2379,10
20240110,4254.0,2382,10
20240111,4341.0,2180,10
20240112,4138.0,1191,7
20240115,4249.0,2374,10
20240116,4253.0,2136,9
20240117,4451.0,1689,9
20240118,4448.0,1538,7
20240119,4379.0,1347,7
20240122,4493.0,2234,10
20240123,4544.0,2171,10
20240124,4455.0,2272,11
20240125,4406.0,2236,9
20240126,4291.0,1416,8
20240129,4517.0,2379,10
20240130,4563.0,2178,10
20240131,4627.0,2314,10
20240201,4489.0,2636,10
20240202,4355.0,1818,7
20240205,4369.0,3127,10
20240206,3980.0,2543,9
20240207,3841.0,1387,5
20240208,3546.0,96,1
20240213,4244.0,1874,7
20240214,4269.0,1951,10
20240215,4219.0,2115,10
20240216,4129.0,1297,5
20240219,4246.0,2377,10
20240220,4259.0,2091,10
20240221,4355.0,2143,9
20240222,4266.0,2138,10
20240223,3975.0,344,5
20240226,4273.0,2139,6
20240227,4455.0,2243,9
20240228,4542.0,2220,10
20240229,4110.0,2249,10
20240304,4400.0,2269,9
20240305,4454.0,1967,9
20240306,4475.0,1901,10
20240307,4695.0,1790,9
20240308,4600.0,898,7
20240311,4638.0,1720,7
20240312,4840.0,2042,10
20240313,4843.0,2167,9
20240314,4919.0,1990,10
20240315,4900.0,765,7
20240318,5056.0,2090,10
20240319,5008.0,1992,10
20240320,5022.0,1857,10
20240321,5170.0,1702,10
20240322,4973.0,929,7
20240325,4973.0,2186,10
20240326,4932.0,1884,10
20240327,4851.0,2045,10
20240328,4792.0,2083,10
20240329,4557.0,962,5
20240401,4741.0,1913,8
20240402,4991.0,1717,8
20240403,4911.0,2033,7
20240404,4822.0,1938,8
20240405,4825.0,858,6
20240408,4874.0,2413,7
20240409,4795.0,2023,7
20240411,4745.0,2370,7
20240412,4582.0,934,6
20240415,4826.0,1767,8
20240416,5061.0,1765,8
20240417,4887.0,2070,8
20240418,4934.0,1821,8
20240419,4880.0,727,6
20240422,4949.0,1950,8
20240423,4974.0,1779,8
20240424,4916.0,1890,7
20240425,4955.0,1855,8
20240426,4846.0,871,6
20240429,5013.0,2057,8
20240430,5022.0,1952,7
20240501,5055.0,1692,7
20240502,5036.0,2160,8
20240503,4671.0,54,3
20240506,4992.0,1588,2
20240507,5017.0,1981,8
20240508,5097.0,2006,8
20240509,5249.0,2040,8
20240510,5304.0,224,4
20240513,5255.0,2217,8
20240514,5188.0,2057,8
20240515,5063.0,953,1
20240516,5466.0,1789,8
20240517,5221.0,405,4
20240520,5299.0,2071,8
20240521,5439.0,1733,8
20240522,5436.0,1944,8
20240523,5544.0,1721,6
20240524,5380.0,907,5
20240527,5413.0,2089,8
20240528,5574.0,1737,8
20240529,5461.0,1928,8
20240530,5399.0,1860,8
20240531,5180.0,963,6
20240603,5443.0,2035,8
20240604,5554.0,1884,8
20240605,5540.0,1678,6
20240606,5451.0,1085,3
20240607,5414.0,158,3
20240610,5792.0,1753,8
20240611,5980.0,1453,8
20240612,6020.0,1437,6
20240613,6072.0,1661,8
20240614,5833.0,870,7
20240617,6223.0,1223,7
20240618,6376.0,1546,7
20240619,6403.0,1439,8
20240620,6303.0,1639,8
20240621,6125.0,962,6
20240624,6304.0,1734,7
20240625,6209.0,1617,8
20240626,6060.0,1657,8
20240627,6022.0,1508,8
20240628,5871.0,694,4
20240701,6108.0,1600,8
20240702,6030.0,1500,8
20240703,6195.0,1479,8
20240704,6101.0,1517,8
20240705,5984.0,602,5
20240708,6057.0,1749,8
20240709,6110.0,1397,8
20240710,6012.0,1714,8
20240711,5824.0,1578,8
20240712,5656.0,650,5
20240715,5872.0,1665,8
20240716,5656.0,1600,7
20240717,5568.0,1789,8
20240718,5413.0,1513,8
20240719,5013.0,236,4
20240722,5453.0,1695,8
20240723,5586.0,1639,8
20240724,5628.0,1422,7
20240725,5333.0,1405,6
20240726,4999.0,767,4
20240729,5379.0,1361,5
20240730,5148.0,1869,8
20240731,5021.0,1560,8
20240801,4942.0,1455,8
20240802,4524.0,435,4
20240805,5229.0,1561,8
20240806,5198.0,1764,8
20240807,5198.0,1729,8
20240808,5158.0,1607,8
20240809,4864.0,958,5
20240812,5375.0,1523,8
20240813,5378.0,1540,8
20240814,5502.0,1425,8
20240815,5390.0,1302,4
20240816,5068.0,830,6
20240819,5479.0,1701,6
20240820,5769.0,1243,8
20240821,5909.0,1423,8
20240822,5903.0,1501,8
20240823,5616.0,908,5
20240826,6245.0,1622,9
20240827,6207.0,1663,8
20240828,5976.0,2079,8
20240829,6008.0,1702,8
20240830,5856.0,1145,5
20240902,6163.0,2158,8
20240903,6134.0,2010,7
